anchors,edges,error,failure,flipped,flipped_count,loo_max_los_m,los_max_offset_m,los_median_offset_m,margins,meta_bias_hi,meta_bias_lo,meta_cap,meta_gap,meta_seed,meta_shadow,method,nlos_edges,nlos_median_offset_m,objective,oracle_flips,oracle_objective,orient_flip,positions,runtime_s,scene,status,truth
8,28,,none,,0,0.22330539461297633,0.014975590802147463,0.009922981339698402,"{""G1"": 36.4, ""G2"": 203.64, ""G3"": 81.68, ""N1"": 76.28, ""N2"": 196.26, ""N3"": 111.53, ""N4"": 67.91, ""T"": 30.12}",3.0,1.6,0,0.0,6,hetero,p_af_c16_d1,16,0.35491316028510167,74.0291634635448,0,74.02916345938687,0,"{""G1"": [0.0, 0.0], ""G2"": [1.994, 0.0], ""G3"": [3.107, -0.219], ""N1"": [-5.45, 7.787], ""N2"": [-5.51, 6.494], ""N3"": [-5.542, 4.936], ""N4"": [-4.174, 7.273], ""T"": [1.502, 2.112]}",1.480320322996704,drawing_b1.6-3_g0_hetero_cap0_r6,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,none,,0,0.24923268727678408,0.03804833550775083,0.019860973017226433,"{""G1"": 30.72, ""G2"": 211.83, ""G3"": 89.47, ""N1"": 81.52, ""N2"": 114.35, ""N3"": 120.25, ""N4"": 67.42, ""T"": 43.07}",3.0,1.6,0,0.0,7,hetero,p_af_c16_d1,16,0.431606073354302,63.263316042294264,0,63.26331604268579,0,"{""G1"": [0.0, 0.0], ""G2"": [2.008, 0.0], ""G3"": [3.083, 0.274], ""N1"": [-5.156, -8.128], ""N2"": [-5.121, -6.789], ""N3"": [-5.205, -5.201], ""N4"": [-3.838, -7.635], ""T"": [1.526, -2.055]}",1.3292966760054696,drawing_b1.6-3_g0_hetero_cap0_r7,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,unknown,G1 G3 T,3,2.0367954726296236,0.2722575915856108,0.1330422668511454,{},3.0,1.6,0,0.0,4,hetero,gui_intervals,16,8.04647745204879,440.2989824758183,-1,nan,1,"{""G1"": [0.0, 0.0], ""G2"": [1.621, 0.0], ""G3"": [2.672, 0.286], ""N1"": [-9.174, -0.069], ""N2"": [-8.377, 1.029], ""N3"": [-6.983, 1.872], ""N4"": [-8.035, -0.512], ""T"": [1.297, -2.155]}",5.666128671000479,drawing_b1.6-3_g0_hetero_cap0_r4,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,unknown,G1 G2 G3 T,4,4.228806739760411,0.1768586858331097,0.12777740649735497,{},3.0,1.6,0,0.0,6,hetero,gui_intervals,16,12.12694245403952,169.25698450680488,-1,nan,1,"{""G1"": [0.0, 0.0], ""G2"": [1.946, 0.0], ""G3"": [3.1, 0.117], ""N1"": [-6.035, -7.177], ""N2"": [-6.117, -5.919], ""N3"": [-5.99, -4.332], ""N4"": [-4.755, -6.718], ""T"": [1.041, 2.023]}",3.377847080992069,drawing_b1.6-3_g0_hetero_cap0_r6,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,none,,0,0.25486388301436497,0.037456143757430616,0.029389004396666706,"{""G1"": 18.95, ""G2"": 212.79, ""G3"": 90.96, ""N1"": 77.99, ""N2"": 203.91, ""N3"": 122.35, ""N4"": 62.82, ""T"": 37.01}",3.0,1.6,0,0.0,9,hetero,p_af_c16_d1,16,0.5088849475315165,62.56292172015657,0,62.56292172111895,0,"{""G1"": [0.0, 0.0], ""G2"": [2.019, 0.0], ""G3"": [3.12, 0.264], ""N1"": [-4.88, -8.254], ""N2"": [-5.041, -6.962], ""N3"": [-5.102, -5.346], ""N4"": [-3.628, -7.61], ""T"": [1.596, -2.05]}",0.7960869390080916,drawing_b1.6-3_g0_hetero_cap0_r9,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,none,,0,0.23474010199989329,0.04041121686353781,0.028991650647471053,"{""G1"": 44.8, ""G2"": 71.41, ""G3"": 88.82, ""N1"": 69.49, ""N2"": 190.4, ""N3"": 111.95, ""N4"": 44.8, ""T"": 53.55}",3.0,1.6,0,0.0,8,hetero,p_af_c16_d1,16,0.36918349962026675,72.57191422468671,0,72.57191422530921,0,"{""G1"": [0.0, 0.0], ""G2"": [-1.935, 0.0], ""G3"": [-3.065, -0.195], ""N1"": [5.52, 7.801], ""N2"": [5.485, 6.505], ""N3"": [5.493, 4.9], ""N4"": [4.238, 7.299], ""T"": [-1.519, 2.116]}",1.4615071400039596,drawing_b1.6-3_g0_hetero_cap0_r8,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,unknown,G1 T,2,4.016658465786427,0.3366050724049769,0.16257521429641106,{},3.0,1.6,0,0.0,5,hetero,gui_intervals,16,10.380860051468616,379.8200747039381,-1,nan,1,"{""G1"": [0.0, 0.0], ""G2"": [1.729, 0.0], ""G3"": [2.857, -0.069], ""N1"": [-7.471, 5.515], ""N2"": [-7.246, 4.293], ""N3"": [-6.756, 2.708], ""N4"": [-6.15, 5.384], ""T"": [0.693, -1.963]}",5.416226655986975,drawing_b1.6-3_g0_hetero_cap0_r5,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,none,,0,0.37434158195826817,0.05389929278638959,0.02512145918070704,"{""G1"": 28.91, ""G2"": 197.81, ""G3"": 83.2, ""N1"": 77.36, ""N2"": 200.09, ""N3"": 123.1, ""N4"": 28.91, ""T"": 44.4}",5.0,3.0,0,0.0,0,hetero,p_af_c16_d1,16,0.6170280622503934,73.46806055495844,0,73.46806056713062,0,"{""G1"": [0.0, 0.0], ""G2"": [1.993, 0.0], ""G3"": [3.063, -0.318], ""N1"": [-5.448, 8.173], ""N2"": [-5.48, 6.864], ""N3"": [-5.577, 5.268], ""N4"": [-4.172, 7.595], ""T"": [1.545, 2.047]}",0.8399370769911911,drawing_b3-5_g0_hetero_cap0_r0,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,unknown,G1 G3 T,3,2.4764793316245144,0.2324460633885263,0.10055945156264198,{},3.0,1.6,0,0.0,7,hetero,gui_intervals,16,10.65969655511963,292.6560438045391,-1,nan,1,"{""G1"": [0.0, 0.0], ""G2"": [1.79, 0.0], ""G3"": [2.891, -0.055], ""N1"": [-7.969, -4.907], ""N2"": [-6.685, -5.235], ""N3"": [-5.112, -5.496], ""N4"": [-7.172, -3.712], ""T"": [0.968, 2.04]}",4.38029340999492,drawing_b1.6-3_g0_hetero_cap0_r7,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
8,28,,none,,0,0.4345777195059494,0.017820258311563978,0.014354632352350237,"{""G1"": 41.21, ""G2"": 218.85, ""G3"": 94.2, ""N1"": 78.88, ""N2"": 199.94, ""N3"": 124.01, ""N4"": 68.41, ""T"": 20.35}",5.0,3.0,0,0.0,1,hetero,p_af_c16_d1,16,0.8030259699352812,59.41982135279072,0,59.41982135257652,0,"{""G1"": [0.0, 0.0], ""G2"": [1.991, 0.0], ""G3"": [3.11, 0.177], ""N1"": [-6.154, -7.618], ""N2"": [-6.074, -6.318], ""N3"": [-5.958, -4.713], ""N4"": [-4.799, -7.199], ""T"": [1.451, -2.099]}",1.4000192230014363,drawing_b3-5_g0_hetero_cap0_r1,ok,"{""N1"": [2.7, 8.3], ""N2"": [4.0, 8.3], ""N3"": [5.6, 8.3], ""N4"": [3.2, 7.0], ""G1"": [10.3, 3.1], ""G2"": [10.3, 1.1], ""G3"": [10.5, 0.0], ""T"": [8.2, 1.6]}"
